type,shape,region,color,size,label
其他,杆状,其他,蓝色,大,False
细菌,杆状,温带,红色,大,True
其他,杆状,温带,红色,大,True
细菌,螺旋形,极地,绿色,中,True
细菌,螺旋形,极地,蓝色,中,False
甲藻,杆状,其他,红色,中,True
真菌,丝状,热带,黄色,小,False
真菌,杆状,其他,蓝色,小,True
细菌,球形,温带,红色,小,False
真菌,螺旋形,其他,绿色,小,True
病毒,丝状,其他,红色,中,False
蓝藻,杆状,热带,蓝色,中,True
真菌,球形,极地,其他,小,True
病毒,丝状,其他,绿色,大,True
其他,球形,极地,黄色,大,True
真菌,螺旋形,温带,红色,中,False
真菌,杆状,热带,其他,中,True
真菌,杆状,极地,其他,大,True
细菌,螺旋形,温带,蓝色,大,False
细菌,螺旋形,极地,其他,大,True
硅藻,球形,温带,绿色,中,True
蓝藻,球形,极地,其他,大,False
细菌,杆状,极地,红色,大,True
硅藻,螺旋形,温带,其他,中,False
蓝藻,螺旋形,热带,红色,小,True
真菌,杆状,热带,黄色,小,True
蓝藻,丝状,热带,蓝色,小,False
真菌,螺旋形,其他,黄色,中,False
蓝藻,丝状,热带,黄色,大,False
病毒,丝状,极地,蓝色,大,False
病毒,球形,热带,红色,中,True
真菌,球形,温带,蓝色,小,True
蓝藻,球形,热带,红色,小,False
病毒,球形,温带,蓝色,小,True
细菌,杆状,温带,蓝色,中,True
蓝藻,螺旋形,热带,黄色,中,False
病毒,螺旋形,极地,黄色,小,True
其他,杆状,极地,红色,中,False
蓝藻,丝状,热带,绿色,中,False
蓝藻,球形,极地,蓝色,小,False
细菌,丝状,温带,黄色,中,True
硅藻,球形,其他,黄色,大,True
甲藻,球形,其他,蓝色,大,True
甲藻,杆状,热带,红色,大,True
病毒,球形,温带,绿色,小,True
蓝藻,螺旋形,热带,绿色,中,False
真菌,丝状,极地,蓝色,大,False
真菌,螺旋形,温带,红色,小,False
细菌,球形,极地,黄色,小,False
其他,球形,温带,蓝色,中,False
蓝藻,螺旋形,极地,其他,大,False
细菌,螺旋形,温带,黄色,大,True
细菌,球形,极地,其他,大,False
硅藻,螺旋形,温带,蓝色,大,False
其他,螺旋形,其他,黄色,小,False
硅藻,螺旋形,极地,红色,大,True
其他,杆状,温带,其他,小,True
细菌,杆状,其他,绿色,大,True
硅藻,丝状,其他,其他,小,False
其他,丝状,温带,红色,小,False
病毒,丝状,极地,其他,大,True
蓝藻,丝状,极地,其他,小,True
甲藻,杆状,温带,绿色,小,True
细菌,丝状,热带,红色,大,True
甲藻,螺旋形,其他,绿色,大,False
其他,螺旋形,其他,蓝色,大,False
硅藻,螺旋形,温带,其他,小,True
其他,丝状,极地,蓝色,大,True
蓝藻,球形,温带,黄色,小,True
甲藻,丝状,极地,绿色,小,False
甲藻,螺旋形,极地,黄色,大,False
甲藻,螺旋形,热带,蓝色,中,False
硅藻,螺旋形,其他,绿色,中,True
蓝藻,杆状,其他,蓝色,大,False
甲藻,杆状,极地,绿色,小,False
甲藻,丝状,热带,绿色,小,True
甲藻,丝状,极地,绿色,大,False
其他,球形,热带,黄色,小,True
蓝藻,球形,温带,红色,中,True
蓝藻,丝状,极地,其他,中,False
其他,球形,温带,绿色,中,True
真菌,丝状,热带,其他,小,True
其他,丝状,其他,绿色,小,False
其他,球形,温带,绿色,小,True
细菌,丝状,极地,绿色,小,False
真菌,球形,其他,红色,中,True
其他,螺旋形,其他,红色,大,False
蓝藻,丝状,极地,蓝色,小,False
硅藻,螺旋形,极地,绿色,中,False
蓝藻,球形,其他,绿色,中,True
甲藻,杆状,极地,绿色,中,True
硅藻,球形,热带,蓝色,中,True
其他,丝状,极地,绿色,中,True
甲藻,杆状,温带,其他,小,True
硅藻,球形,温带,黄色,小,False
病毒,螺旋形,温带,黄色,小,False
细菌,球形,其他,绿色,大,False
真菌,球形,温带,绿色,中,False
其他,螺旋形,其他,黄色,小,False
硅藻,球形,其他,绿色,中,True
硅藻,杆状,温带,蓝色,小,False
细菌,杆状,极地,蓝色,大,False
病毒,球形,极地,蓝色,大,False
甲藻,球形,热带,红色,大,False
硅藻,丝状,极地,绿色,小,False
甲藻,螺旋形,热带,绿色,大,True
蓝藻,球形,温带,绿色,小,False
病毒,球形,极地,黄色,中,True
蓝藻,螺旋形,其他,黄色,小,False
硅藻,螺旋形,其他,绿色,小,False
甲藻,球形,热带,红色,小,True
其他,杆状,热带,绿色,小,True
细菌,杆状,其他,绿色,大,True
病毒,杆状,其他,红色,大,True
甲藻,丝状,热带,其他,小,False
真菌,杆状,极地,其他,中,True
其他,杆状,热带,其他,中,False
真菌,螺旋形,温带,绿色,中,False
硅藻,螺旋形,温带,红色,大,True
硅藻,球形,热带,其他,中,False
真菌,杆状,热带,其他,小,False
细菌,螺旋形,其他,红色,大,True
硅藻,杆状,其他,其他,小,True
其他,杆状,极地,黄色,中,True
病毒,球形,其他,蓝色,大,True
硅藻,杆状,极地,其他,中,False
细菌,丝状,极地,其他,中,False
细菌,螺旋形,热带,绿色,中,False
其他,丝状,极地,黄色,小,True
甲藻,丝状,温带,其他,小,False
细菌,杆状,温带,黄色,小,False
病毒,球形,温带,其他,小,True
其他,球形,极地,其他,中,True
蓝藻,杆状,极地,绿色,中,False
甲藻,杆状,热带,绿色,小,False
甲藻,丝状,热带,其他,中,False
蓝藻,丝状,热带,红色,小,False
硅藻,球形,热带,红色,中,True
硅藻,杆状,温带,蓝色,小,True
细菌,螺旋形,温带,其他,中,False
真菌,螺旋形,温带,红色,小,True
蓝藻,丝状,极地,蓝色,小,True
蓝藻,球形,其他,其他,大,True
病毒,杆状,温带,黄色,大,False
蓝藻,球形,热带,红色,中,True
硅藻,螺旋形,温带,绿色,中,True
硅藻,丝状,其他,绿色,中,True
细菌,丝状,极地,黄色,中,True
甲藻,杆状,极地,蓝色,大,False
蓝藻,螺旋形,热带,绿色,大,False
其他,球形,热带,其他,中,True
蓝藻,球形,热带,红色,大,False
硅藻,球形,极地,绿色,小,False
真菌,丝状,其他,蓝色,小,False
细菌,丝状,温带,其他,中,True
病毒,球形,温带,蓝色,小,False
病毒,杆状,极地,蓝色,中,True
蓝藻,球形,热带,蓝色,中,True
硅藻,球形,极地,绿色,小,False
甲藻,球形,极地,黄色,大,True
硅藻,螺旋形,温带,蓝色,大,False
其他,球形,热带,其他,小,False
其他,螺旋形,极地,蓝色,小,False
甲藻,螺旋形,热带,黄色,小,True
甲藻,螺旋形,极地,其他,中,True
硅藻,球形,温带,黄色,大,True
硅藻,杆状,热带,其他,大,True
蓝藻,球形,热带,其他,中,True
细菌,杆状,温带,蓝色,中,True
硅藻,丝状,温带,绿色,大,False
病毒,球形,其他,红色,小,False
其他,球形,热带,黄色,大,True
病毒,螺旋形,其他,红色,大,True
病毒,丝状,温带,绿色,中,True
蓝藻,杆状,其他,蓝色,大,False
甲藻,球形,热带,红色,中,True
细菌,丝状,极地,黄色,小,True
病毒,螺旋形,极地,绿色,大,False
甲藻,丝状,其他,红色,小,False
真菌,螺旋形,其他,红色,小,True
真菌,球形,其他,红色,大,True
甲藻,螺旋形,热带,绿色,小,False
硅藻,丝状,极地,绿色,小,False
蓝藻,杆状,其他,绿色,中,False
其他,螺旋形,温带,蓝色,小,False
其他,球形,热带,其他,小,True
蓝藻,杆状,热带,其他,小,True
病毒,球形,其他,黄色,小,False
硅藻,丝状,热带,其他,中,False
细菌,螺旋形,温带,蓝色,中,True
病毒,杆状,极地,绿色,中,True
真菌,螺旋形,温带,黄色,小,True
病毒,球形,温带,其他,大,True
硅藻,螺旋形,温带,黄色,大,True
硅藻,杆状,极地,蓝色,小,False
硅藻,杆状,极地,绿色,中,True
甲藻,螺旋形,其他,其他,中,False
硅藻,杆状,极地,红色,中,True
硅藻,球形,温带,蓝色,大,False
甲藻,杆状,温带,绿色,小,False
